x,y,z,index
307.0,345.0,402.0,0.0
308.0,343.0,401.0,0.0
307.0,343.0,401.0,0.0
307.0,342.0,402.0,0.0
307.0,341.0,401.0,0.0
306.0,341.0,402.0,0.0
305.0,339.0,400.0,0.0
305.0,339.0,401.0,0.0
305.0,339.0,400.0,0.0
305.0,338.0,401.0,0.0
306.0,340.0,401.0,0.0
306.0,340.0,401.0,0.0
307.0,341.0,401.0,0.0
307.0,342.0,400.0,0.0
307.0,343.0,400.0,0.0
307.0,343.0,401.0,0.0
307.0,342.0,399.0,0.0
307.0,342.0,400.0,0.0
307.0,343.0,400.0,0.0
307.0,344.0,399.0,0.0
307.0,344.0,399.0,0.0
307.0,343.0,399.0,0.0
307.0,343.0,400.0,0.0
307.0,344.0,400.0,0.0
307.0,343.0,400.0,0.0
307.0,342.0,400.0,0.0
306.0,342.0,401.0,0.0
306.0,341.0,401.0,0.0
306.0,340.0,402.0,0.0
306.0,339.0,402.0,0.0
306.0,338.0,401.0,0.0
306.0,338.0,402.0,0.0
306.0,339.0,402.0,0.0
307.0,340.0,401.0,0.0
307.0,340.0,401.0,0.0
307.0,341.0,401.0,0.0
307.0,342.0,400.0,0.0
307.0,342.0,401.0,0.0
307.0,342.0,401.0,0.0
306.0,342.0,401.0,0.0
306.0,342.0,401.0,0.0
306.0,341.0,400.0,0.0
306.0,342.0,400.0,0.0
306.0,342.0,400.0,0.0
305.0,340.0,399.0,0.0
305.0,342.0,400.0,0.0
305.0,341.0,400.0,0.0
305.0,340.0,400.0,0.0
305.0,340.0,400.0,0.0
305.0,340.0,400.0,0.0
335.0,294.0,281.0,1.0
335.0,292.0,278.0,1.0
336.0,291.0,284.0,1.0
336.0,291.0,287.0,1.0
336.0,289.0,289.0,1.0
337.0,291.0,289.0,1.0
337.0,293.0,285.0,1.0
338.0,295.0,283.0,1.0
339.0,298.0,281.0,1.0
340.0,298.0,280.0,1.0
339.0,296.0,281.0,1.0
339.0,295.0,281.0,1.0
339.0,294.0,282.0,1.0
339.0,294.0,285.0,1.0
338.0,293.0,285.0,1.0
338.0,293.0,288.0,1.0
337.0,295.0,290.0,1.0
337.0,297.0,289.0,1.0
337.0,298.0,289.0,1.0
336.0,298.0,287.0,1.0
335.0,297.0,286.0,1.0
335.0,295.0,284.0,1.0
335.0,295.0,284.0,1.0
335.0,295.0,286.0,1.0
335.0,294.0,286.0,1.0
336.0,294.0,287.0,1.0
336.0,295.0,287.0,1.0
337.0,298.0,287.0,1.0
338.0,300.0,288.0,1.0
339.0,299.0,288.0,1.0
339.0,299.0,285.0,1.0
339.0,296.0,284.0,1.0
339.0,297.0,282.0,1.0
339.0,296.0,282.0,1.0
339.0,295.0,282.0,1.0
339.0,294.0,284.0,1.0
338.0,295.0,286.0,1.0
338.0,297.0,286.0,1.0
338.0,297.0,287.0,1.0
338.0,298.0,287.0,1.0
338.0,298.0,288.0,1.0
338.0,298.0,289.0,1.0
337.0,298.0,287.0,1.0
337.0,298.0,286.0,1.0
337.0,298.0,280.0,1.0
336.0,296.0,279.0,1.0
338.0,296.0,280.0,1.0
338.0,298.0,281.0,1.0
338.0,296.0,283.0,1.0
339.0,295.0,285.0,1.0
317.0,350.0,406.0,0.0
315.0,344.0,402.0,0.0
313.0,346.0,399.0,0.0
315.0,349.0,405.0,0.0
315.0,348.0,406.0,0.0
314.0,346.0,404.0,0.0
315.0,348.0,403.0,0.0
315.0,349.0,402.0,0.0
314.0,344.0,401.0,0.0
314.0,343.0,402.0,0.0
314.0,345.0,399.0,0.0
315.0,349.0,403.0,0.0
315.0,347.0,402.0,0.0
314.0,348.0,400.0,0.0
316.0,351.0,402.0,0.0
316.0,352.0,402.0,0.0
316.0,352.0,404.0,0.0
316.0,352.0,402.0,0.0
316.0,353.0,401.0,0.0
315.0,352.0,402.0,0.0
315.0,351.0,402.0,0.0
315.0,350.0,400.0,0.0
315.0,352.0,400.0,0.0
315.0,353.0,402.0,0.0
314.0,351.0,401.0,0.0
314.0,350.0,400.0,0.0
314.0,349.0,400.0,0.0
314.0,351.0,401.0,0.0
315.0,351.0,403.0,0.0
315.0,350.0,403.0,0.0
315.0,350.0,403.0,0.0
314.0,349.0,401.0,0.0
315.0,348.0,401.0,0.0
315.0,349.0,401.0,0.0
314.0,351.0,399.0,0.0
315.0,353.0,401.0,0.0
315.0,354.0,402.0,0.0
315.0,353.0,402.0,0.0
315.0,354.0,403.0,0.0
316.0,355.0,404.0,0.0
316.0,355.0,402.0,0.0
315.0,354.0,400.0,0.0
315.0,356.0,399.0,0.0
315.0,353.0,398.0,0.0
314.0,349.0,399.0,0.0
313.0,345.0,398.0,0.0
313.0,346.0,401.0,0.0
312.0,345.0,402.0,0.0
313.0,346.0,404.0,0.0
313.0,346.0,401.0,0.0
325.0,296.0,292.0,1.0
326.0,293.0,295.0,1.0
325.0,295.0,291.0,1.0
325.0,292.0,292.0,1.0
325.0,293.0,289.0,1.0
325.0,293.0,289.0,1.0
325.0,291.0,289.0,1.0
325.0,290.0,288.0,1.0
325.0,288.0,285.0,1.0
326.0,287.0,288.0,1.0
326.0,289.0,289.0,1.0
326.0,290.0,289.0,1.0
326.0,291.0,291.0,1.0
326.0,292.0,292.0,1.0
325.0,293.0,291.0,1.0
324.0,292.0,290.0,1.0
324.0,290.0,293.0,1.0
324.0,287.0,293.0,1.0
324.0,290.0,291.0,1.0
324.0,289.0,291.0,1.0
324.0,290.0,289.0,1.0
325.0,291.0,289.0,1.0
326.0,293.0,290.0,1.0
326.0,294.0,290.0,1.0
326.0,292.0,289.0,1.0
326.0,291.0,288.0,1.0
326.0,290.0,287.0,1.0
327.0,291.0,287.0,1.0
327.0,292.0,288.0,1.0
327.0,292.0,290.0,1.0
327.0,290.0,291.0,1.0
327.0,289.0,290.0,1.0
326.0,290.0,289.0,1.0
326.0,291.0,289.0,1.0
326.0,293.0,293.0,1.0
326.0,292.0,293.0,1.0
326.0,291.0,295.0,1.0
324.0,292.0,294.0,1.0
324.0,290.0,292.0,1.0
324.0,290.0,292.0,1.0
325.0,290.0,292.0,1.0
325.0,289.0,290.0,1.0
326.0,289.0,290.0,1.0
325.0,290.0,288.0,1.0
326.0,290.0,288.0,1.0
326.0,290.0,288.0,1.0
327.0,290.0,288.0,1.0
327.0,290.0,290.0,1.0
328.0,291.0,290.0,1.0
328.0,289.0,289.0,1.0
292.0,335.0,399.0,0.0
290.0,338.0,396.0,0.0
291.0,335.0,395.0,0.0
290.0,336.0,391.0,0.0
291.0,331.0,396.0,0.0
292.0,325.0,405.0,0.0
292.0,332.0,400.0,0.0
290.0,332.0,391.0,0.0
290.0,324.0,396.0,0.0
289.0,317.0,394.0,0.0
288.0,321.0,386.0,0.0
288.0,328.0,383.0,0.0
289.0,329.0,387.0,0.0
288.0,327.0,384.0,0.0
289.0,329.0,386.0,0.0
288.0,331.0,385.0,0.0
289.0,335.0,392.0,0.0
290.0,334.0,394.0,0.0
289.0,333.0,392.0,0.0
287.0,325.0,386.0,0.0
286.0,325.0,380.0,0.0
286.0,329.0,384.0,0.0
286.0,328.0,388.0,0.0
285.0,326.0,385.0,0.0
285.0,325.0,383.0,0.0
285.0,328.0,381.0,0.0
285.0,328.0,384.0,0.0
286.0,327.0,387.0,0.0
285.0,326.0,385.0,0.0
286.0,327.0,387.0,0.0
286.0,330.0,386.0,0.0
285.0,325.0,385.0,0.0
285.0,325.0,385.0,0.0
286.0,326.0,388.0,0.0
286.0,325.0,382.0,0.0
284.0,321.0,376.0,0.0
286.0,327.0,385.0,0.0
286.0,335.0,390.0,0.0
286.0,336.0,388.0,0.0
287.0,334.0,389.0,0.0
287.0,334.0,388.0,0.0
287.0,333.0,388.0,0.0
287.0,330.0,384.0,0.0
287.0,329.0,385.0,0.0
286.0,328.0,384.0,0.0
287.0,333.0,385.0,0.0
287.0,335.0,388.0,0.0
